Jaar;Immigratie;Emigratie;Migratiesaldo,New Split Column,Column 02,Column 03,Column 04
2002,121,250;-96,918;24,332
2003,104,514;-104,831;-0,317
2004,94,019;-110,235;-16,216
2005,92,297;-119,725;-27,428
2006,101,150;-132,470;-31,320
2007,116,819;-122,576;-5,757
2008,143,516;-117,779;25,737
2009,146,378;-111,897;34,481
2010,154,432;-121,351;33,081
2011,162,962;-133,194;29,768
2012,158,374;-144,491;13,883
2013,164,772;-145,669;19,103
2014,182,949;-147,862;35,087
2015,204,615;-149,509;55,106
2016,230,739;-151,545;79,194
2017,234,957;-154,292;80,665
2018,243,737;-157,366;86,371
2019,269,064;-161,029;108,035
2020,220,853;-152,494;68,359
2021,252,528;-145,330;107,198
2022*,401,351;-173,469;227,882
