"ID";"Geslacht";"Leeftijd";"Migratieachtergrond";"Generatie";"Perioden";"TotaalVerdachtenVanMisdrijven_1"
"13";"T001038";"10000";"T001040";"T001040";"2012JJ00";"252180"
"14";"T001038";"10000";"T001040";"T001040";"2013JJ00";"234230"
"15";"T001038";"10000";"T001040";"T001040";"2014JJ00";"219240"
"16";"T001038";"10000";"T001040";"T001040";"2015JJ00";"200400"
"17";"T001038";"10000";"T001040";"T001040";"2016JJ00";"186910"
"18";"T001038";"10000";"T001040";"T001040";"2017JJ00";"172550"
"19";"T001038";"10000";"T001040";"T001040";"2018JJ00";"165960"
"20";"T001038";"10000";"T001040";"T001040";"2019JJ00";"167850"
"21";"T001038";"10000";"T001040";"T001040";"2020JJ00";"156200"
"22";"T001038";"10000";"T001040";"T001040";"2021JJ00";"146210"
"23";"T001038";"10000";"T001040";"T001040";"2022JJ00";"158290"
"37";"T001038";"10000";"T001040";"2013356";"2012JJ00";"51400"
"38";"T001038";"10000";"T001040";"2013356";"2013JJ00";"48430"
"39";"T001038";"10000";"T001040";"2013356";"2014JJ00";"44820"
"40";"T001038";"10000";"T001040";"2013356";"2015JJ00";"41200"
"41";"T001038";"10000";"T001040";"2013356";"2016JJ00";"38830"
"42";"T001038";"10000";"T001040";"2013356";"2017JJ00";"35840"
"43";"T001038";"10000";"T001040";"2013356";"2018JJ00";"38330"
"44";"T001038";"10000";"T001040";"2013356";"2019JJ00";"39880"
"45";"T001038";"10000";"T001040";"2013356";"2020JJ00";"37250"
"46";"T001038";"10000";"T001040";"2013356";"2021JJ00";"34710"
"47";"T001038";"10000";"T001040";"2013356";"2022JJ00";"38850"
"61";"T001038";"10000";"T001040";"2013357";"2012JJ00";"46000"
"62";"T001038";"10000";"T001040";"2013357";"2013JJ00";"44260"
"63";"T001038";"10000";"T001040";"2013357";"2014JJ00";"41900"
"64";"T001038";"10000";"T001040";"2013357";"2015JJ00";"39770"
"65";"T001038";"10000";"T001040";"2013357";"2016JJ00";"37650"
"66";"T001038";"10000";"T001040";"2013357";"2017JJ00";"34580"
"67";"T001038";"10000";"T001040";"2013357";"2018JJ00";"33670"
"68";"T001038";"10000";"T001040";"2013357";"2019JJ00";"35360"
"69";"T001038";"10000";"T001040";"2013357";"2020JJ00";"34030"
"70";"T001038";"10000";"T001040";"2013357";"2021JJ00";"31200"
"71";"T001038";"10000";"T001040";"2013357";"2022JJ00";"32120"
"85";"T001038";"10000";"T001040";"2820719";"2012JJ00";"18650"
"86";"T001038";"10000";"T001040";"2820719";"2013JJ00";"17040"
"87";"T001038";"10000";"T001040";"2820719";"2014JJ00";"15570"
"88";"T001038";"10000";"T001040";"2820719";"2015JJ00";"14620"
"89";"T001038";"10000";"T001040";"2820719";"2016JJ00";"14270"
"90";"T001038";"10000";"T001040";"2820719";"2017JJ00";"14010"
"91";"T001038";"10000";"T001040";"2820719";"2018JJ00";"10810"
"92";"T001038";"10000";"T001040";"2820719";"2019JJ00";"10280"
"93";"T001038";"10000";"T001040";"2820719";"2020JJ00";"10310"
"94";"T001038";"10000";"T001040";"2820719";"2021JJ00";"10010"
"95";"T001038";"10000";"T001040";"2820719";"2022JJ00";"14440"
"109";"T001038";"10000";"1012600";"T001040";"2012JJ00";"136120"
"110";"T001038";"10000";"1012600";"T001040";"2013JJ00";"124500"
"111";"T001038";"10000";"1012600";"T001040";"2014JJ00";"116950"
"112";"T001038";"10000";"1012600";"T001040";"2015JJ00";"104810"
"113";"T001038";"10000";"1012600";"T001040";"2016JJ00";"96160"
"114";"T001038";"10000";"1012600";"T001040";"2017JJ00";"88120"
"115";"T001038";"10000";"1012600";"T001040";"2018JJ00";"83140"
"116";"T001038";"10000";"1012600";"T001040";"2019JJ00";"82340"
"117";"T001038";"10000";"1012600";"T001040";"2020JJ00";"74610"
"118";"T001038";"10000";"1012600";"T001040";"2021JJ00";"70300"
"119";"T001038";"10000";"1012600";"T001040";"2022JJ00";"72890"
"133";"T001038";"10000";"1012600";"2013356";"2012JJ00";
"134";"T001038";"10000";"1012600";"2013356";"2013JJ00";
"135";"T001038";"10000";"1012600";"2013356";"2014JJ00";
"136";"T001038";"10000";"1012600";"2013356";"2015JJ00";
"137";"T001038";"10000";"1012600";"2013356";"2016JJ00";
"138";"T001038";"10000";"1012600";"2013356";"2017JJ00";
"139";"T001038";"10000";"1012600";"2013356";"2018JJ00";
"140";"T001038";"10000";"1012600";"2013356";"2019JJ00";
"141";"T001038";"10000";"1012600";"2013356";"2020JJ00";
"142";"T001038";"10000";"1012600";"2013356";"2021JJ00";
"143";"T001038";"10000";"1012600";"2013356";"2022JJ00";
"157";"T001038";"10000";"1012600";"2013357";"2012JJ00";
"158";"T001038";"10000";"1012600";"2013357";"2013JJ00";
"159";"T001038";"10000";"1012600";"2013357";"2014JJ00";
"160";"T001038";"10000";"1012600";"2013357";"2015JJ00";
"161";"T001038";"10000";"1012600";"2013357";"2016JJ00";
"162";"T001038";"10000";"1012600";"2013357";"2017JJ00";
"163";"T001038";"10000";"1012600";"2013357";"2018JJ00";
"164";"T001038";"10000";"1012600";"2013357";"2019JJ00";
"165";"T001038";"10000";"1012600";"2013357";"2020JJ00";
"166";"T001038";"10000";"1012600";"2013357";"2021JJ00";
"167";"T001038";"10000";"1012600";"2013357";"2022JJ00";
"181";"T001038";"10000";"1012600";"2820719";"2012JJ00";
"182";"T001038";"10000";"1012600";"2820719";"2013JJ00";
"183";"T001038";"10000";"1012600";"2820719";"2014JJ00";
"184";"T001038";"10000";"1012600";"2820719";"2015JJ00";
"185";"T001038";"10000";"1012600";"2820719";"2016JJ00";
"186";"T001038";"10000";"1012600";"2820719";"2017JJ00";
"187";"T001038";"10000";"1012600";"2820719";"2018JJ00";
"188";"T001038";"10000";"1012600";"2820719";"2019JJ00";
"189";"T001038";"10000";"1012600";"2820719";"2020JJ00";
"190";"T001038";"10000";"1012600";"2820719";"2021JJ00";
"191";"T001038";"10000";"1012600";"2820719";"2022JJ00";
"205";"T001038";"10000";"2012605";"T001040";"2012JJ00";"114680"
"206";"T001038";"10000";"2012605";"T001040";"2013JJ00";"108930"
"207";"T001038";"10000";"2012605";"T001040";"2014JJ00";"101670"
"208";"T001038";"10000";"2012605";"T001040";"2015JJ00";"94950"
"209";"T001038";"10000";"2012605";"T001040";"2016JJ00";"90220"
"210";"T001038";"10000";"2012605";"T001040";"2017JJ00";"83760"
"211";"T001038";"10000";"2012605";"T001040";"2018JJ00";"82010"
"212";"T001038";"10000";"2012605";"T001040";"2019JJ00";"84590"
"213";"T001038";"10000";"2012605";"T001040";"2020JJ00";"80950"
"214";"T001038";"10000";"2012605";"T001040";"2021JJ00";"75370"
"215";"T001038";"10000";"2012605";"T001040";"2022JJ00";"84520"
"229";"T001038";"10000";"2012605";"2013356";"2012JJ00";"51380"
"230";"T001038";"10000";"2012605";"2013356";"2013JJ00";"48430"
"231";"T001038";"10000";"2012605";"2013356";"2014JJ00";"44820"
"232";"T001038";"10000";"2012605";"2013356";"2015JJ00";"41200"
"233";"T001038";"10000";"2012605";"2013356";"2016JJ00";"38830"
"234";"T001038";"10000";"2012605";"2013356";"2017JJ00";"35840"
"235";"T001038";"10000";"2012605";"2013356";"2018JJ00";"38100"
"236";"T001038";"10000";"2012605";"2013356";"2019JJ00";"39460"
"237";"T001038";"10000";"2012605";"2013356";"2020JJ00";"37250"
"238";"T001038";"10000";"2012605";"2013356";"2021JJ00";"34710"
"239";"T001038";"10000";"2012605";"2013356";"2022JJ00";"38850"
"253";"T001038";"10000";"2012605";"2013357";"2012JJ00";"46000"
"254";"T001038";"10000";"2012605";"2013357";"2013JJ00";"44260"
"255";"T001038";"10000";"2012605";"2013357";"2014JJ00";"41900"
"256";"T001038";"10000";"2012605";"2013357";"2015JJ00";"39770"
"257";"T001038";"10000";"2012605";"2013357";"2016JJ00";"37650"
"258";"T001038";"10000";"2012605";"2013357";"2017JJ00";"34580"
"259";"T001038";"10000";"2012605";"2013357";"2018JJ00";"33670"
"260";"T001038";"10000";"2012605";"2013357";"2019JJ00";"35360"
"261";"T001038";"10000";"2012605";"2013357";"2020JJ00";"34030"
"262";"T001038";"10000";"2012605";"2013357";"2021JJ00";"31200"
"263";"T001038";"10000";"2012605";"2013357";"2022JJ00";"32120"
"277";"T001038";"10000";"2012605";"2820719";"2012JJ00";"17300"
"278";"T001038";"10000";"2012605";"2820719";"2013JJ00";"16250"
"279";"T001038";"10000";"2012605";"2820719";"2014JJ00";"14950"
"280";"T001038";"10000";"2012605";"2820719";"2015JJ00";"13990"
"281";"T001038";"10000";"2012605";"2820719";"2016JJ00";"13750"
"282";"T001038";"10000";"2012605";"2820719";"2017JJ00";"13340"
"283";"T001038";"10000";"2012605";"2820719";"2018JJ00";"10240"
"284";"T001038";"10000";"2012605";"2820719";"2019JJ00";"9770"
"285";"T001038";"10000";"2012605";"2820719";"2020JJ00";"9670"
"286";"T001038";"10000";"2012605";"2820719";"2021JJ00";"9470"
"287";"T001038";"10000";"2012605";"2820719";"2022JJ00";"13560"
"7405";"T001038";"52020";"T001040";"T001040";"2012JJ00";"30450"
"7406";"T001038";"52020";"T001040";"T001040";"2013JJ00";"25810"
"7407";"T001038";"52020";"T001040";"T001040";"2014JJ00";"23850"
"7408";"T001038";"52020";"T001040";"T001040";"2015JJ00";"22960"
"7409";"T001038";"52020";"T001040";"T001040";"2016JJ00";"21350"
"7410";"T001038";"52020";"T001040";"T001040";"2017JJ00";"19260"
"7411";"T001038";"52020";"T001040";"T001040";"2018JJ00";"17060"
"7412";"T001038";"52020";"T001040";"T001040";"2019JJ00";"18930"
"7413";"T001038";"52020";"T001040";"T001040";"2020JJ00";"16340"
"7414";"T001038";"52020";"T001040";"T001040";"2021JJ00";"15600"
"7415";"T001038";"52020";"T001040";"T001040";"2022JJ00";"17500"
"7429";"T001038";"52020";"T001040";"2013356";"2012JJ00";"2760"
"7430";"T001038";"52020";"T001040";"2013356";"2013JJ00";"2240"
"7431";"T001038";"52020";"T001040";"2013356";"2014JJ00";"1980"
"7432";"T001038";"52020";"T001040";"2013356";"2015JJ00";"1880"
"7433";"T001038";"52020";"T001040";"2013356";"2016JJ00";"1720"
"7434";"T001038";"52020";"T001040";"2013356";"2017JJ00";"1540"
"7435";"T001038";"52020";"T001040";"2013356";"2018JJ00";"1450"
"7436";"T001038";"52020";"T001040";"2013356";"2019JJ00";"1670"
"7437";"T001038";"52020";"T001040";"2013356";"2020JJ00";"1460"
"7438";"T001038";"52020";"T001040";"2013356";"2021JJ00";"1450"
"7439";"T001038";"52020";"T001040";"2013356";"2022JJ00";"1950"
"7453";"T001038";"52020";"T001040";"2013357";"2012JJ00";"10300"
"7454";"T001038";"52020";"T001040";"2013357";"2013JJ00";"9430"
"7455";"T001038";"52020";"T001040";"2013357";"2014JJ00";"8780"
"7456";"T001038";"52020";"T001040";"2013357";"2015JJ00";"8710"
"7457";"T001038";"52020";"T001040";"2013357";"2016JJ00";"7860"
"7458";"T001038";"52020";"T001040";"2013357";"2017JJ00";"6750"
"7459";"T001038";"52020";"T001040";"2013357";"2018JJ00";"5990"
"7460";"T001038";"52020";"T001040";"2013357";"2019JJ00";"6690"
"7461";"T001038";"52020";"T001040";"2013357";"2020JJ00";"5720"
"7462";"T001038";"52020";"T001040";"2013357";"2021JJ00";"5080"
"7463";"T001038";"52020";"T001040";"2013357";"2022JJ00";"5400"
"7477";"T001038";"52020";"T001040";"2820719";"2012JJ00";"520"
